iso3,name,lat,lon
AFG,Afghanistan,33.83157582199988,66.02686033678734
GBR,United Kingdom,53.942185006965346,-2.522154505706491
ALB,Albania,41.139240668494395,20.066299142871895
DZA,Algeria,28.161517686206015,2.6750778495256653
USA,United States,39.52760418136378,-99.14432916630732
ATA,Antarctica,-80.56209599234973,20.816873240700907
ATG,Antigua & Barbuda,17.077902604306807,-61.79826161025697
ARG,Argentina,-35.1887239607488,-65.1448864860499
AND,Andorra,42.54547237537381,1.5762805257067276
AGO,Angola,-12.338535669735759,17.57861786768525
ARM,Armenia,40.29422208795369,44.93831434932953
NLD,Netherlands,52.26560962880857,5.683169690287281
AUS,Australia,-25.57507176851369,134.35232732782492
AUT,Austria,47.587036177666924,14.141781257060389
AZE,Azerbaijan,40.35506723882161,47.65517960632687
BHS,"Bahamas, The",24.676610328172526,-78.0554975017906
BRB,Barbados,13.17278454246263,-59.55749565091428
BLR,Belarus,53.541940418505156,28.049299480691303
BEL,Belgium,50.641027636640146,4.661082904544525
BLZ,Belize,17.199432557684947,-88.70674828713786
BTN,Bhutan,27.394650657264837,90.43185758860065
BOL,Bolivia,-16.71298220665343,-64.66214964555853
BIH,Bosnia & Herzegovina,44.168576848369135,17.78596691150161
BWA,Botswana,-22.187383853933877,23.81476974281584
NOR,Norway,64.234917150007675,13.989339708439733
COL,Colombia,3.9073100720986633,-73.07692660799412
COM,Comoros,-11.661874301277027,43.354333358991624
BRA,Brazil,-10.782294844190725,-53.09469657804757
FRA,France,46.62609719762674,2.4585500160508
COD,"Congo, Dem Rep of the",-2.8767966076725267,23.660478378804484
COG,"Congo, Rep of the",-0.8431651054285298,15.22732248467246
NZL,New Zealand,-43.98675582844517,170.48226917563562
BRN,Brunei,4.499019101310995,114.63028700619967
BGR,Bulgaria,42.75776894687532,25.23483346709825
BFA,Burkina Faso,12.273950492592647,-1.735448751832592
BDI,Burundi,-3.3656908199661872,29.890910941948878
CPV,Cabo Verde,15.083579807521659,-23.624055899987898
KHM,Cambodia,12.714019054170597,104.92043757030403
CMR,Cameroon,5.6945472866142435,12.745843103256199
CAN,Canada,57.72443840546885,-101.67369384127957
CRI,Costa Rica,9.972513945453906,-84.19608472213136
CIV,Cote d'Ivoire,7.622366289506242,-5.552654013828337
HRV,Croatia,45.13943490979017,16.424761953805373
CUB,Cuba,21.607633221797602,-78.9502103021164
CAF,Central African Rep,6.577793652607762,20.48478090235483
TCD,Chad,15.371924784933327,18.66606091426879
CHL,Chile,-35.281314210319685,-71.22955067155567
CHN,China,36.6289776038481,103.88464108467298
CYP,Cyprus,35.05741461253355,33.2242299829311
CZE,Czechia,49.73906713564359,15.331866105351573
DNK,Denmark,56.03654380678278,9.316174376082706
DJI,Djibouti,11.734641310161601,42.579653824088666
DMA,Dominica,15.432052889491922,-61.35906719529942
DOM,Dominican Republic,18.897302008444456,-70.49920387593913
ECU,Ecuador,-1.4490758741265886,-78.3699201317316
EGY,Egypt,26.350156875623803,29.51735357319312
SLV,El Salvador,13.736331853178001,-88.8700929649076
GNQ,Equatorial Guinea,1.5677253995374745,10.46630572885936
ERI,Eritrea,15.380733828340299,38.823744085420635
EST,Estonia,58.68463317042098,25.83872041459677
ETH,Ethiopia,8.632972555249719,39.632320162140594
FJI,Fiji,-17.835950319385727,177.9721562980551
FIN,Finland,64.52054307388673,26.285359162423426
GAB,Gabon,-0.606116745449924,11.789343461400634
GMB,"Gambia, The",13.450932525034242,-15.3724481106893
MAR,Morocco,31.842348004400847,-6.281701763794363
MOZ,Mozambique,-17.25928426427881,35.55222767533149
NAM,Namibia,-22.13878823857543,17.222651248865677
GEO,Georgia,42.18134812682212,43.505617223631354
DEU,Germany,51.09044628450559,10.38055913689519
GHA,Ghana,7.965023658605553,-1.2059422331704015
GRC,Greece,39.47111920016957,22.581478025835526
GRL,Greenland,74.74430833107948,-41.52090159937835
GRD,Grenada,12.112069929980283,-61.687026896044685
NRU,Nauru,-0.5196880745991859,166.9300087830504
GTM,Guatemala,15.697457377037718,-90.36558668205912
NPL,Nepal,28.258579192511668,83.94523109534339
GIN,Guinea,10.439779057777208,-10.922846584815884
GNB,Guinea-Bissau,12.049531791105835,-14.915551824393315
GUY,Guyana,4.786260333682758,-58.975417401751095
HTI,Haiti,18.933423429022024,-72.6741300927599
JOR,Jordan,31.249692204163658,36.787790063600056
HND,Honduras,14.818229525573996,-86.61718764862167
HUN,Hungary,47.165147632758455,19.412163751397358
ISL,Iceland,64.99137842842087,-18.58434453087538
IDN,Indonesia,-0.1974852879545756,114.00240852594834
IRN,Iran,32.56830209529258,54.30219068505475
IRQ,Iraq,33.05014031709742,43.765893732150516
IRL,Ireland,53.17710862521655,-8.143429146516057
KAZ,Kazakhstan,48.16033785794956,67.26518583042247
KEN,Kenya,0.559059895374076,37.844085698400576
KIR,Kiribati,1.854301586515497,-157.35367429940553
PRK,"Korea, North",40.146107297118014,127.17911924926695
KOR,"Korea, South",36.45384887524153,127.85115278319181
XKX,Kosovo,42.58139051588455,20.889340564226192
SRB,Serbia,44.23020843141752,20.79434450026081
SYC,Seychelles,-4.678673138938036,55.467305056715155
SLE,Sierra Leone,8.569293077753317,-11.78040060647425
SGP,Singapore,1.3545733865798006,103.80603615220478
ITA,Italy,43.522746008511405,12.161899939484467
JAM,Jamaica,18.157555418826806,-77.3124411044779
JPN,Japan,36.65521248487089,137.97486816735412
KGZ,Kyrgyzstan,41.464767959595726,74.52959166073161
LAO,Laos,18.496886846255027,103.76728059483139
LVA,Latvia,56.854043036328406,24.927012755669086
LBN,Lebanon,33.921417714021736,35.89393229771117
LSO,Lesotho,-29.583318411377544,28.246545461871403
LBR,Liberia,6.448360095401649,-9.309148190333046
LBY,Libya,27.037904782706708,18.02628294897286
LIE,Liechtenstein,47.14166173700486,9.553035807949916
LTU,Lithuania,55.336780518190416,23.904597460073678
LUX,Luxembourg,49.77680968967495,6.09266714837281
MCO,Monaco,43.736641616735945,7.423192654549323
MNG,Mongolia,46.836420305046374,103.0697641725113
MNE,Montenegro,42.78631343488484,19.25138581539959
MKD,Macedonia,41.60046322179853,21.700830492159632
MDG,Madagascar,-19.386764764617606,46.69626151867307
MWI,Malawi,-13.213266013462787,34.302266995251344
MYS,Malaysia,3.609391354770303,114.72070217159266
MDV,Maldives,1.9506742412455569,73.53197634409614
MLI,Mali,17.361394332958923,-3.5122086025135935
MLT,Malta,35.88912346261512,14.440069498885732
MHL,Marshall Is,7.0951955462108165,171.19738626229753
MRT,Mauritania,20.259511214711832,-10.332420434349572
MUS,Mauritius,-20.283519542928634,57.57199680175486
MEX,Mexico,23.93366852768051,-102.51921949459164
FSM,"Micronesia, Fed States of",6.881742950081547,158.22284744283894
MDA,Moldova,47.20236362132611,28.465078983078996
NIC,Nicaragua,12.844371409257517,-85.04161381107578
OMN,Oman,20.568140381952013,56.09877560259213
PAK,Pakistan,29.95144939231404,69.37099050370887
PLW,Palau,7.498349655408471,134.56579527654884
PAN,Panama,8.518025927787466,-80.09365186195565
PNG,Papua New Guinea,-6.617695598878594,144.26415726859042
PRY,Paraguay,-23.234414185062704,-58.3943521608365
PER,Peru,-9.171987634470666,-74.35779357654144
PHL,Philippines,15.946834279714249,121.42230419926581
POL,Poland,52.12244029122092,19.40652732547571
PRT,Portugal,39.68679915909473,-7.9647600013392665
ROU,Romania,45.84201314688488,24.973585535534777
RUS,Russia,61.66165370716631,99.10859783307725
RWA,Rwanda,-2.000178709188915,29.92536763260317
WSM,Samoa,-13.620128018957177,-172.46736235792656
SMR,San Marino,43.93838176092904,12.46335442144765
TON,Tonga,-21.174944709149152,-175.19278363893557
TTO,Trinidad & Tobago,10.420873542786326,-61.29967893381053
TUN,Tunisia,34.10806945516776,9.571137668531629
TKM,Turkmenistan,39.194849555451306,59.180788855073835
STP,Sao Tome & Principe,0.2398305309209685,6.6017917765109555
SAU,Saudi Arabia,24.125501352992682,44.549527177605164
SEN,Senegal,14.363906869297972,-14.462677124500136
SVK,Slovakia,48.70742323838981,19.484970323595263
SVN,Slovenia,46.11937612560178,14.82175381324208
SLB,Solomon Is,-9.623299754715568,160.1593008683016
SOM,Somalia,6.061600577199819,45.867110687983875
ZAF,South Africa,-28.995996550693235,25.088001282665704
SSD,South Sudan,7.332229339822201,30.20230004110988
ESP,Spain,40.39085119192312,-3.554891953804411
LKA,Sri Lanka,7.607084045635086,80.70602144288995
KNA,St Kitts & Nevis,17.337715143171454,-62.76767937642355
LCA,St Lucia,13.89629695342863,-60.96784097914497
VCT,St Vincent & the Grenadines,13.248931442201966,-61.1939770853515
SDN,Sudan,16.131405212300752,30.051385064341726
SUR,Suriname,4.138889070832407,-55.90665327475271
SWZ,Swaziland,-26.565694818107907,31.497754022029714
SWE,Sweden,62.82797534702197,16.738031827032753
CHE,Switzerland,46.80010070015298,8.229088880388336
SYR,Syria,35.01704838713855,38.49710103339384
TWN,Taiwan,23.75050934328311,120.97242233736819
TJK,Tajikistan,38.525978540140244,71.0084927640042
TZA,Tanzania,-6.263890162556162,34.80479601737322
THA,Thailand,15.150069927111904,101.02028538740092
TLS,Timor-Leste,-8.797743253169164,125.94662700653657
TGO,Togo,8.532878459062509,0.9772799885044333
TUV,Tuvalu,-7.472495200037,178.68874554545394
UGA,Uganda,1.2783236063527619,32.391787411766146
URY,Uruguay,-32.796212485697694,-56.01794689922857
UZB,Uzbekistan,41.775482324430406,63.119338324715415
VUT,Vanuatu,-15.245561042357426,166.85546773762252
VAT,Vatican City,41.903389755347064,12.452989292955818
VEN,Venezuela,7.122717653210318,-66.15543653733374
VNM,Vietnam,16.678335235658643,106.30786268156565
ZMB,Zambia,-13.456612467546819,27.795762903937685
ZWE,Zimbabwe,-18.999999399224972,29.872162810062946
YEM,Yemen,15.935587380934821,47.54775813185706
UKR,Ukraine,49.01905710975204,31.393478476580572
BHR,Bahrain,26.077729652452923,50.55023090436085
KWT,Kuwait,29.330034005347105,47.57908967999031
QAT,Qatar,25.280491277893304,51.19315130414746
ARE,United Arab Emirates,23.905873255176903,54.338825365649114
TUR,Turkey,38.98732943214799,35.429056700046935
ISR,Israel,31.35643364689781,34.966528357144185
BGD,Bangladesh,23.881174015795047,90.26079347819224
MMR,Burma,21.177622298443698,96.5047520443552
IND,India,22.89776605014126,79.59759153553568
BEN,Benin,9.652513517374583,2.3366525929154
NER,Niger,17.41829666286474,9.406185704751847
NGA,Nigeria,9.59935796198383,8.106539953298753
111,Abyei,9.788911040242253,28.41262815354699
112,Aksai Chin,35.03050356959918,79.13242222293997
113,CH-IN,31.189669177408533,79.13855903203225
114,Demchok,32.87594469706121,79.33394101778502
115,Dragonja,45.463589597448724,13.620226162324224
116,Dramana-Shakatoe,27.562547935015868,89.08431640732562
117,Falkland Islands (UK),-51.7428535536098,-58.753795442874164
118,Gaza Strip,31.406513307211586,34.37678711204648
119,Kalapani,30.212899205270418,80.9773291577605
120,Isla Brasilera,-30.182657454366613,-57.62757622749484
