iso3,name,lat,lon
AFG,Afghanistan,33.83157582199988,66.02686033678734
GBR,United Kingdom,52.16343173061796,-3.677663352477161
ALB,Albania,41.139240668494395,20.066299142871895
DZA,Algeria,28.161517686206015,2.6750778495256653
USA,United States,45.66724802994592,-112.45792384473953
ATA,Antarctica,-80.50959738876817,19.961887562989666
ATG,Antigua & Barbuda,17.28026464295693,-61.80004897650802
ARG,Argentina,-35.38509916648454,-65.16745676324258
AND,Andorra,42.54547237537381,1.5762805257067276
AGO,Angola,-12.298593978173562,17.550093627854096
ARM,Armenia,40.294658073110895,44.93905734544344
NLD,Netherlands,51.56272333422224,4.327868108542292
AUS,Australia,-25.735456181721943,134.48464099234758
AUT,Austria,47.587035075649396,14.14147120855228
AZE,Azerbaijan,40.291504679739056,47.52378469162548
BHS,"Bahamas, The",24.19894093895055,-76.58401190488479
BRB,Barbados,13.17278454246263,-59.55749565091428
BLR,Belarus,53.541940418505156,28.049299480691303
BEL,Belgium,50.64109242534007,4.6611048810539195
BLZ,Belize,17.206641304546608,-88.69653111911185
BTN,Bhutan,27.394650657264837,90.43185758860065
BOL,Bolivia,-16.71298220665343,-64.66214964555853
BIH,Bosnia & Herzegovina,44.168576848369135,17.78596691150161
BWA,Botswana,-22.187383853933877,23.81476974281584
NOR,Norway,68.727683341287,15.349109695056542
COL,Colombia,3.9077451439659807,-73.07734394168199
COM,Comoros,-11.889850897993599,43.68263918672252
BRA,Brazil,-10.774310240202846,-53.08924072295714
FRA,France,39.467288091813394,1.2865108754869286
COD,"Congo, Dem Rep of the",-2.8767966076725267,23.660478378804484
COG,"Congo, Rep of the",-0.8431651054285298,15.22732248467246
NZL,New Zealand,-41.792548924949365,170.74089426906212
BRN,Brunei,4.5214462908618325,114.74903997354788
BGR,Bulgaria,42.75776894687532,25.23483346709825
BFA,Burkina Faso,12.273950492592647,-1.735448751832592
BDI,Burundi,-3.3656908199661872,29.890910941948878
CPV,Cabo Verde,15.947798449533396,-23.974454701059926
KHM,Cambodia,12.711493613487468,104.91778601880323
CMR,Cameroon,5.693583120647589,12.744110809458364
CAN,Canada,61.41324473676406,-98.25277181199803
CRI,Costa Rica,9.97055990337153,-84.1981855434862
CIV,Cote d'Ivoire,7.622366289506242,-5.552654013828337
HRV,Croatia,45.04212308832436,16.4061028354521
CUB,Cuba,21.61979836678576,-79.02242955912237
CAF,Central African Rep,6.577793652607762,20.48478090235483
TCD,Chad,15.371924784933327,18.66606091426879
CHL,Chile,-37.81132256610488,-71.36086844254075
CHN,China,36.57110269747923,103.90998578842164
CYP,Cyprus,35.05739478025776,33.224478267671664
CZE,Czechia,49.73906713564359,15.331866105351573
DNK,Denmark,56.19394323555073,9.40640038496913
DJI,Djibouti,11.734641310161601,42.579653824088666
DMA,Dominica,15.432052889491922,-61.35906719529942
DOM,Dominican Republic,18.894371073738945,-70.49590839049011
ECU,Ecuador,-1.4244044738490447,-78.76726890222672
EGY,Egypt,26.56591219838592,29.78163572108081
SLV,El Salvador,13.73584977125761,-88.86907147402005
GNQ,Equatorial Guinea,1.705795371290135,10.334564398117672
ERI,Eritrea,15.382372971012813,38.83089532037537
EST,Estonia,58.67109555175927,25.548943667525347
ETH,Ethiopia,8.632972555249719,39.632320162140594
FJI,Fiji,-17.447624196456804,163.57586201636298
FIN,Finland,64.48701596481372,26.242675096008295
GAB,Gabon,-0.606116745449924,11.789343461400634
GMB,"Gambia, The",13.450932525034242,-15.3724481106893
MAR,Morocco,31.842348004400847,-6.281701763794363
MOZ,Mozambique,-17.259281618916354,35.55223384365624
NAM,Namibia,-22.13878823857543,17.222651248865677
GEO,Georgia,42.18134546860713,43.5051287259036
DEU,Germany,51.10839762858409,10.392254738599906
GHA,Ghana,7.965023658605553,-1.2059422331704015
GRC,Greece,39.04495503249979,22.980932984495322
GRL,Greenland,74.71709048112041,-41.454335303811426
GRD,Grenada,12.149076375096383,-61.66394602808823
NRU,Nauru,-0.5196880745991859,166.9300087830504
GTM,Guatemala,15.697457377037718,-90.36558668205912
NPL,Nepal,28.258579192511668,83.94523109534339
GIN,Guinea,10.440247452422797,-10.927973362126492
GNB,Guinea-Bissau,12.018922691208575,-14.969257227508736
GUY,Guyana,4.786779942790213,-58.9752810233052
HTI,Haiti,18.936599350850827,-72.68824455329613
JOR,Jordan,31.249692204163658,36.787790063600056
HND,Honduras,14.821041883134503,-86.61687677680423
HUN,Hungary,47.165147632758455,19.412163751397358
ISL,Iceland,64.9904960589657,-18.584053987170346
IDN,Indonesia,-2.2289451456530283,117.28239098046147
IRN,Iran,32.562466346267364,54.3034671652927
